S	engine	Threshold	Recall	Precision	Precision.cutoff
SBS1	mlp	-Inf	1	0.937875432525952	0.5
SBS1	mlp	-Inf	1	0.937875432525952	0.9
SBS1	mlp	3.2450073	0.840480951572796	0.990000434574769	0.99
SBS2.13	mlp	-1.392951	0.634551495016611	0.500009217779253	0.5
SBS2.13	mlp	0.3716874	0.285152777127884	0.900014768867228	0.9
SBS2.13	mlp	1.828191	0.130831500631697	0.990084985835694	0.99
SBS3.8	mlp	-Inf	1	0.635159169550173	0.5
SBS3.8	mlp	0.6074301	0.826618944111222	0.900002372563674	0.9
SBS3.8	mlp	3.4804678	0.222269436318172	0.99000291177327	0.99
SBS4	mlp	-0.31183624	0.795	0.501577287066246	0.5
SBS4	mlp	1.7256203	0.645	0.902097902097902	0.9
SBS4	mlp	5.227187	0.535	0.990740740740741	0.99
SBS6	mlp	-3.8799813	0.9935	0.550876356397873	0.5
SBS6	mlp	-3.1381	0.9905	0.900045433893685	0.9
SBS6	mlp	1.4061434	0.96675	0.990015360983103	0.99
SBS10	mlp	-31.96534	1	0.500089301661011	0.5
SBS10	mlp	-16.796331	1	0.900032144005143	0.9
SBS10	mlp	-5.6057167	1	0.99009900990099	0.99
SBS14	mlp	-5.568526	1	0.50125313283208	0.5
SBS14	mlp	-2.0499067	1	0.943396226415094	0.9
SBS14	mlp	-1.0713797	1	0.99009900990099	0.99
SBS15	cnn	-3.3273256	0.99	0.500361010830325	0.5
SBS15	cnn	-0.93935496	0.962857142857143	0.901069518716578	0.9
SBS15	cnn	1.4193852	0.905714285714286	0.990625	0.99
SBS17	mlp	-1.9904809	0.958236265830827	0.500004420319324	0.5
SBS17	mlp	-0.18772179	0.775450040238892	0.900007865654619	0.9
SBS17	mlp	2.41606	0.594120886102757	0.990005787608871	0.99
SBS18	mlp	-Inf	1	0.599069204152249	0.5
SBS18	mlp	0.7754122	0.836164522817982	0.900000621693368	0.9
SBS18	mlp	3.2153535	0.31978097509978	0.990004112797954	0.99
SBS26	cnn	-2.8949523	0.996	0.500251130085384	0.5
SBS26	cnn	-0.68243927	0.968	0.90046511627907	0.9
SBS26	cnn	1.147303	0.916	0.99027027027027	0.99
SBS30	cnn	0.64728594	0.92	0.502732240437158	0.5
SBS30	cnn	2.3841853	0.84	0.903225806451613	0.9
SBS30	cnn	4.6081443	0.63	1	0.99
SBS44	mlp	-7.9486074	0.997674939772536	0.500007019612798	0.5
SBS44	mlp	-3.5154676	0.994621547425626	0.900002534789993	0.9
SBS44	mlp	-1.3478703	0.986441817468766	0.990019398914785	0.99
SBS88	mlp	-Inf	1	0.594051903114187	0.5
SBS88	mlp	1.0033195	0.573633657772264	0.900003655505191	0.9
SBS88	mlp	3.1099184	0.15579475888421	0.990006292334456	0.99
