,0
0,0.3802497088909149
1,0.36701157689094543
2,0.35634464025497437
3,0.351942777633667
4,0.34852537512779236
5,0.34602227807044983
6,0.34606242179870605
7,0.34225109219551086
8,0.3421146869659424
9,0.3394985496997833
10,0.33911770582199097
11,0.33826392889022827
12,0.3359592854976654
13,0.33592239022254944
14,0.3353227972984314
15,0.334565132856369
16,0.3336386978626251
17,0.33298859000205994
18,0.3319714367389679
19,0.33177393674850464
20,0.3310922682285309
21,0.33030539751052856
22,0.32905885577201843
23,0.33000054955482483
24,0.3285091817378998
25,0.3271116018295288
26,0.32847535610198975
27,0.3263402283191681
28,0.32606276869773865
29,0.32635143399238586
30,0.32523539662361145
31,0.3255082368850708
32,0.32485491037368774
33,0.3237348794937134
34,0.3232981562614441
35,0.32306772470474243
36,0.32315605878829956
37,0.3227599263191223
38,0.323006808757782
39,0.32290831208229065
40,0.32206517457962036
41,0.32068365812301636
42,0.3196738064289093
43,0.32035699486732483
44,0.3200145363807678
45,0.3202914893627167
46,0.31882140040397644
47,0.31827300786972046
48,0.319337397813797
49,0.31814366579055786
