,0
0,0.3430061936378479
1,0.32797691226005554
2,0.3215210735797882
3,0.31667107343673706
4,0.3119743764400482
5,0.3096582591533661
6,0.3073941469192505
7,0.3058623671531677
8,0.3049111068248749
9,0.3041842579841614
10,0.30280429124832153
11,0.30150845646858215
12,0.301541805267334
13,0.2993246018886566
14,0.2993323504924774
15,0.29748085141181946
16,0.2968677878379822
17,0.2966916859149933
18,0.29708757996559143
19,0.2958624064922333
20,0.2955825924873352
21,0.29450270533561707
22,0.29309603571891785
23,0.2935549318790436
24,0.29352807998657227
25,0.29214128851890564
26,0.2916305661201477
27,0.29168739914894104
28,0.29171881079673767
29,0.290711909532547
30,0.28949737548828125
31,0.28914961218833923
32,0.2895719110965729
33,0.28817620873451233
34,0.28858643770217896
35,0.28728988766670227
36,0.2876114249229431
37,0.28688108921051025
38,0.28657659888267517
39,0.28662168979644775
40,0.2851828336715698
41,0.28597497940063477
42,0.2853379547595978
43,0.2849087417125702
44,0.2840695381164551
45,0.28365999460220337
46,0.2834637761116028
47,0.28314411640167236
48,0.28283438086509705
49,0.28271374106407166
