,0
0,0.37418264150619507
1,0.3627440631389618
2,0.3569057881832123
3,0.3544852137565613
4,0.35223761200904846
5,0.34959670901298523
6,0.3474285304546356
7,0.3468567132949829
8,0.34494298696517944
9,0.3447541296482086
10,0.3432419002056122
11,0.34136050939559937
12,0.34045499563217163
13,0.3402382433414459
14,0.34012165665626526
15,0.3398610055446625
16,0.33935368061065674
17,0.33786213397979736
18,0.33843091130256653
19,0.3381310701370239
20,0.3369443714618683
21,0.33597609400749207
22,0.3354562520980835
23,0.33586639165878296
24,0.33472204208374023
25,0.33411329984664917
26,0.33420059084892273
27,0.33493858575820923
28,0.3337305784225464
29,0.33427563309669495
30,0.3323512077331543
31,0.3325235843658447
32,0.3326702117919922
33,0.3310023248195648
34,0.3305341303348541
35,0.3305283784866333
36,0.33086538314819336
37,0.32937920093536377
38,0.3301357924938202
39,0.3290918469429016
40,0.3289889693260193
41,0.3284911513328552
42,0.32829511165618896
43,0.32738104462623596
44,0.32792946696281433
45,0.3272269666194916
46,0.32710298895835876
47,0.32616305351257324
48,0.32605281472206116
49,0.3266570270061493
