,0
0,0.44343850016593933
1,0.4312035143375397
2,0.4253045916557312
3,0.4203217923641205
4,0.4175167679786682
5,0.4145728349685669
6,0.4124103784561157
7,0.4102694094181061
8,0.4085155427455902
9,0.40832802653312683
10,0.40665286779403687
11,0.40549057722091675
12,0.40524640679359436
13,0.40478894114494324
14,0.40354058146476746
15,0.40291205048561096
16,0.40099358558654785
17,0.4002172648906708
18,0.40193918347358704
19,0.39932695031166077
20,0.3988953232765198
21,0.39861324429512024
22,0.39677953720092773
23,0.3978779911994934
24,0.3983863294124603
25,0.3969080150127411
26,0.3973267078399658
27,0.3960878551006317
28,0.39533185958862305
29,0.39504867792129517
30,0.39536991715431213
31,0.39527690410614014
32,0.39450961351394653
33,0.39391687512397766
34,0.39431068301200867
35,0.3938308656215668
36,0.39412951469421387
37,0.3927077651023865
38,0.3936461806297302
39,0.39202097058296204
40,0.39185333251953125
41,0.3916145861148834
42,0.3914671540260315
43,0.3915148377418518
44,0.39129239320755005
45,0.39031022787094116
46,0.38955843448638916
47,0.3898591101169586
48,0.38943588733673096
49,0.38909196853637695
