S	engine	Threshold	Recall	Precision	Precision.cutoff
SBS2.13	mlp	-2.9464197	0.92421052631579	0.500113921166553	0.5
SBS2.13	mlp	0.19472873	0.66021052631579	0.900114810562572	0.9
SBS3.8	mlp	-2.54243	0.62136409227683	0.500201857085184	0.5
SBS3.8	mlp	0.11863017	0.207622868605817	0.901960784313726	0.9
SBS4	mlp	-Inf	1	0.925916666666667	0.5
SBS4	mlp	-Inf	1	0.925916666666667	0.9
SBS5	cnn	-3.9410272	0.868639053254438	0.500340831629175	0.5
SBS5	cnn	0.49601996	0.32189349112426	0.900662251655629	0.9
SBS31	mlp	-0.8982849	0.62629246676514	0.500590318772137	0.5
SBS31	mlp	2.2963483	0.34711964549483	0.900383141762452	0.9
SBS44	cnn	-7.4211297	0.505454545454545	0.500900900900901	0.5
SBS44	cnn	0.08134174	0.378181818181818	0.9004329004329	0.9
SBS.D	cnn	-3.2317219	0.605555555555556	0.502304147465438	0.5
SBS.D	cnn	-2.392105	0.572222222222222	0.903508771929825	0.9
