S	engine	Threshold	Recall	Precision	Precision.cutoff
SBS1	mlp	-Inf	1	0.688010471204188	0.5
SBS1	mlp	1.668258	0.254204398447607	0.90004041492658	0.9
SBS2.13	mlp	-Inf	1	0.564659685863874	0.5
SBS2.13	mlp	2.0602202	0.125822902178952	0.90016583747927	0.9
SBS3.8	mlp	-0.46877003	0.0086716594402838	0.511627906976744	0.5
SBS3.8	mlp	Inf	0	NA	0.9
SBS4	mlp	-Inf	1	0.626492146596859	0.5
SBS4	mlp	2.0414906	0.330645161290323	0.900022747952684	0.9
SBS5	mlp	-0.7174027	0.0491419656786271	0.50132625994695	0.5
SBS5	mlp	1.4033878	0.0174206968278731	0.905405405405405	0.9
SBS6	mlp	-1.5148315	0.975	0.501285347043702	0.5
SBS6	mlp	1.5169601	0.855	0.904761904761905	0.9
SBS12	mlp	-Inf	1	0.56434554973822	0.5
SBS12	mlp	1.595261	0.510297801280267	0.900024543892661	0.9
SBS16	mlp	-Inf	1	0.516780104712042	0.5
SBS16	mlp	1.7221645	0.199736588825287	0.90002282583885	0.9
SBS18	mlp	1.9861968	0.0010498687664042	0.666666666666667	0.5
SBS18	mlp	2.123409	0.0010498687664042	1	0.9
SBS19	mlp	-0.23160005	0.5678391959799	0.502222222222222	0.5
SBS19	mlp	1.8224764	0.49748743718593	0.908256880733945	0.9
SBS22	mlp	-0.92157316	0.396793587174349	0.500210526315789	0.5
SBS22	mlp	1.1360786	0.17935871743487	0.901006711409396	0.9
SBS23	mlp	-1.0315313	0.028735632183908	0.555555555555556	0.5
SBS23	mlp	-0.63831997	0.0114942528735632	1	0.9
SBS24	mlp	-1.4697537	0.218855218855219	0.503875968992248	0.5
SBS24	mlp	1.035615	0.0673400673400673	0.909090909090909	0.9
SBS28	mlp	-0.4249719	0.429624599864196	0.500056452523428	0.5
SBS28	mlp	2.4520197	0.038122029294791	0.901376146788991	0.9
SBS30	mlp	-2.757762	0.17	0.515151515151515	0.5
SBS30	mlp	-1.9139214	0.1	0.909090909090909	0.9
SBS31	mlp	-1.2373791	0.88	0.502857142857143	0.5
SBS31	mlp	2.436831	0.77	0.905882352941176	0.9
SBS92	mlp	Inf	0	NA	0.5
SBS92	mlp	Inf	0	NA	0.9
