S	mi	tpr	fpr	thr
SBS1	m0	0.136258379037172	0.00935374149659862	4.20308015
SBS1	m1	0.481310425518813	0.00982091276718655	4.1866025
SBS1	m2	0.893224699828473	0.00941730429664511	3.5907507
SBS1	m3	0.989091744172695	0.00961538461538458	1.5364291
SBS2.13	m0	0.0688797712296407	0.00971599402092671	3.157891
SBS2.13	m1	0.277145746429023	0.00977653631284914	3.68145225
SBS2.13	m2	0.655980348932418	0.00978564771668222	4.92006935
SBS2.13	m3	0.96199850974548	0.00992317541613319	1.5186448
SBS3	m0	0.0473335034447563	0.00972132209980558	3.59628105
SBS3	m1	0.181830014317324	0.00998463901689706	4.54156715
SBS3	m2	0.551730844029561	0.00962649210627642	4.4382795
SBS3	m3	0.900536874823396	0.00987012987012992	2.7242968
SBS5	m0	0.0431053938162943	0.00963391136801539	3.6633606
SBS5	m1	0.130760301799187	0.00945945945945947	4.7413316
SBS5	m2	0.314232471465176	0.00940070505287893	6.0452632
SBS5	m3	0.674205178629957	0.00687285223367695	5.9001315
SBS17	m0	0.20978120978121	0.00996550402453045	0.545800875
SBS17	m1	0.524826216484608	0.00996987519724568	1.04307
SBS17	m2	0.899775056235941	0.00998431036941949	-0.71488583
SBS17	m3	0.987596672989931	0.00996784565916398	-3.41209795
SBS18	m0	0.0493877001749428	0.0097435897435898	2.72792625
SBS18	m1	0.131068619473827	0.00993171942892612	3.7455709
SBS18	m2	0.500338203463203	0.00987959246681069	4.1437405
SBS18	m3	0.90992051810421	0.00990916597853009	3.7843616
SBS26	m0	0.0421686746987952	0.0099837221920781	-2.12484565
SBS26	m1	0.274298056155508	0.0099960015993602	-1.9117228
SBS26	m2	0.583333333333333	0.00995506001479041	-2.2767514
SBS26	m3	0.735042735042735	0.00852395338800171	-3.43555595
SBS31	m0	0.0233236151603499	0.00993773946360155	-1.3705908
SBS31	m1	0.0477326968973747	0.00995275590551181	-0.99373167
SBS31	m2	0.225517890772128	0.00993773193282599	-0.706610855
SBS31	m3	0.728482697426797	0.00998336106489184	-1.9692723
SBS44	m0	0.0471698113207547	0.00991913746630724	-3.47041375
SBS44	m1	0.26605504587156	0.00997562772771066	-2.55233985
SBS44	m2	0.578947368421053	0.00996489638772502	-2.5100794
SBS44	m3	0.778067885117493	0.00997953835660692	-4.2707295
