,0
0,0.48691269755363464
1,0.46593278646469116
2,0.4588930010795593
3,0.4529924988746643
4,0.44753777980804443
5,0.44601401686668396
6,0.442815899848938
7,0.44080650806427
8,0.4397802948951721
9,0.43994128704071045
10,0.43756067752838135
11,0.43706434965133667
12,0.4349807798862457
13,0.4344072937965393
14,0.43267717957496643
15,0.43352869153022766
16,0.4313410520553589
17,0.43061333894729614
18,0.429878830909729
19,0.4280460476875305
20,0.42994922399520874
21,0.42947328090667725
22,0.42836135625839233
23,0.427382230758667
24,0.4261162579059601
25,0.4250469505786896
26,0.424916535615921
27,0.4252265691757202
28,0.42529192566871643
29,0.4235415458679199
30,0.42276912927627563
31,0.42207711935043335
32,0.42215412855148315
33,0.42128556966781616
34,0.42059215903282166
35,0.42163029313087463
36,0.4205785393714905
37,0.42107000946998596
38,0.42050275206565857
39,0.4198799729347229
40,0.41985446214675903
41,0.4180884063243866
42,0.4184831380844116
43,0.41861915588378906
44,0.4186445474624634
45,0.41773101687431335
46,0.4184180200099945
47,0.41874292492866516
48,0.4174199402332306
49,0.4166790843009949
