S	measure	min_value	threshold	precision	recall	npv	engine
SBS1	precision	0.9	1.2509794	0.900003217917364	0.786748055528207	0.399461364806527	mlp
SBS1	npv	0.9	-1.8392888	0.813489702517162	1	1	mlp
SBS2.13	precision	0.9	1.8471502	0.900813008130081	0.0432036184980114	0.858617749406586	mlp
SBS2.13	npv	0.9	-0.8019267	0.478934669636229	0.402479918895734	0.900006525285481	mlp
SBS3	precision	0.9	1.4971075	0.900047445832674	0.224497041420118	0.474028493077386	mlp
SBS3	npv	0.9	-0.90623313	0.609054296666505	0.990295857988166	0.900906344410876	mlp
SBS4	precision	0.9	-28.555267	0.900900900900901	1	1	mlp
SBS4	npv	0.9	124.89143	1	0.01	0.998855835240275	mlp
SBS5	precision	0.9	1.871076	0.900030598417625	0.317218216552659	0.313139297005765	mlp
SBS5	npv	0.9	-2.1453493	0.744939317740806	0.999553213779503	0.903225806451606	mlp
SBS6	precision	0.9	1.9189105	0.900523560209424	0.573333333333333	0.998520811833505	mlp
SBS6	npv	0.9	44.265743	1	0.00333333333333333	0.996567505720824	mlp
SBS17	precision	0.9	0.67053616	0.900293255131965	0.210909590546854	0.932984036594473	mlp
SBS17	npv	0.9	33.948788	1	0.000137400384721077	0.916727688787185	mlp
SBS18	precision	0.9	1.6300482	0.90000719372707	0.215339334584072	0.379741496598639	mlp
SBS18	npv	0.9	-0.39557838	0.702920590714207	0.990481763885781	0.900072280448138	mlp
SBS33	precision	0.9	1.001384	0.901408450704225	0.465116279069767	0.995772350251591	mlp
SBS33	npv	0.9	42.386253	1	0.00145348837209302	0.992128146453089	mlp
SBS44	precision	0.9	-8.887009	0.900036088054854	0.9976	0.99992910315491	mlp
SBS44	npv	0.9	197.24792	1	4e-04	0.971395881006865	mlp
